bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24_x,F25_x,F26_x,F27_x,F28_x,F29_x,F30_x,F31_x,F24_y,F25_y,F26_y,F27_y,F28_y,F29_y,F30_y,F31_y,F32,F33
pg11-1,0.0131,0.0231,0.3112,0.0901,0.0137,0.0254,0.0384,0.0706,0.0192,0.0064,0.0061,0.0075,0.0235,0.129,0.0499,0.0458,0.2308,0.1538,0.6154,0.7965,0.4081,0.7918,-0.28301832,0.47229367,0.16390836,0.013837713,0.17332262,-0.26912808,0.009894809000000001,-0.11349026,0.027735798,-0.17276992,0.8552886,0.8577738,1.1216254,-0.09325718,0.08189694,-0.07284298,0.022657102,0.12628864,-0.11642656,9.482652e-08
pg11-3,0.0285,0.1276,0.2271,0.0713,0.0178,0.0277,0.0292,0.0717,0.0343,0.0073,0.0039,0.0085,0.0129,0.1206,-0.0226,0.0831,0.359,0.1282,0.5128,0.7935,0.473,0.7918,-0.28301832,0.47229367,0.16390836,0.013837713,0.17332262,-0.26912808,0.009894809000000001,-0.11349026,0.027735798,-0.17276992,0.8552886,0.8577738,1.1216254,-0.09325718,0.08189694,-0.07284298,0.022657102,0.12628864,-0.11642656,9.482652e-08
pg11-2,0.0266,0.0617,0.2095,0.0847,0.0141,0.0257,0.032,0.0677,0.0324,0.0067,0.0073,0.0051,0.013000000000000001,0.1188,-0.0201,0.07400000000000001,0.4615,0.0769,0.4615,0.7989,0.5229,0.7918,-0.28301832,0.47229367,0.16390836,0.013837713,0.17332262,-0.26912808,0.009894809000000001,-0.11349026,0.027735798,-0.17276992,0.8552886,0.8577738,1.1216254,-0.09325718,0.08189694,-0.07284298,0.022657102,0.12628864,-0.11642656,9.482652e-08
pg54-2,0.0296,0.3108,0.0463,0.06,0.0243,0.0185,0.0329,0.0555,0.0422,0.0019,0.0055,0.0027,0.0102,0.0985,-0.0879,0.0618,0.2424,0.1818,0.5758,0.7132,0.6309,0.3403,-0.039747324,0.10330222,-0.06190865,-0.012813148,-0.003649972,-0.13101767,-0.00265885,0.018004514,-0.052213583,0.04281797,-0.58878964,1.3288051,-0.76919484,0.21187724,-0.24941006,-0.0052653453,-0.043743953,0.1517537,-0.026733387,9.482652e-08
pg54-1,0.0297,0.33299999999999996,0.1035,0.0719,0.017,0.0201,0.039,0.0612,0.0407,0.0023,0.0073,0.0019,0.0085,0.1117,-0.0597,0.0584,0.1212,0.2121,0.6667,0.7603,0.6505,0.3403,-0.039747324,0.10330222,-0.06190865,-0.012813148,-0.003649972,-0.13101767,-0.00265885,0.018004514,-0.052213583,0.04281797,-0.58878964,1.3288051,-0.76919484,0.21187724,-0.24941006,-0.0052653453,-0.043743953,0.1517537,-0.026733387,9.482652e-08
pg54-5,0.0237,0.1037,0.2051,0.0612,0.022000000000000002,0.0189,0.0355,0.0566,0.0379,0.0011,0.0073,0.003,0.006999999999999999,0.1035,0.0176,0.0517,0.0909,0.2121,0.6970000000000001,0.6611,0.5002,0.3403,-0.039747324,0.10330222,-0.06190865,-0.012813148,-0.003649972,-0.13101767,-0.00265885,0.018004514,-0.052213583,0.04281797,-0.58878964,1.3288051,-0.76919484,0.21187724,-0.24941006,-0.0052653453,-0.043743953,0.1517537,-0.026733387,9.482652e-08
pg54-4,0.0285,0.1884,0.0303,0.0626,0.0165,0.0181,0.0314,0.0568,0.0437,0.0012,0.0069,0.0017,0.009000000000000001,0.098,-0.0851,0.0686,0.2121,0.2121,0.5758,0.7191,0.5412,0.3403,-0.039747324,0.10330222,-0.06190865,-0.012813148,-0.003649972,-0.13101767,-0.00265885,0.018004514,-0.052213583,0.04281797,-0.58878964,1.3288051,-0.76919484,0.21187724,-0.24941006,-0.0052653453,-0.043743953,0.1517537,-0.026733387,9.482652e-08
pg54-3,0.0272,0.1877,0.055999999999999994,0.0645,0.0266,0.0183,0.0347,0.0575,0.0397,0.0013,0.0063,0.0025,0.0071,0.1023,-0.0305,0.0612,0.2121,0.4242,0.3636,0.6379,0.5598,0.3403,-0.039747324,0.10330222,-0.06190865,-0.012813148,-0.003649972,-0.13101767,-0.00265885,0.018004514,-0.052213583,0.04281797,-0.58878964,1.3288051,-0.76919484,0.21187724,-0.24941006,-0.0052653453,-0.043743953,0.1517537,-0.026733387,9.482652e-08
pg78-1,0.0232,0.3307,0.0761,0.0632,0.0248,0.0216,0.0401,0.057,0.0322,0.0006,0.0025,0.0026,0.0015,0.1028,0.2151,0.0207,0.2,0.175,0.625,0.6097,0.4514,0.2315,-0.11215835,0.10998845,-0.34026766,0.10367395,0.07149049,-0.015818372,0.17030092,-0.11080439,0.071930915,0.24083507,1.3672564,-0.29642418,-0.8866513,-0.27136546,-0.25185505,0.071078956,0.027983623,-0.071103714,-0.07218217,9.482647e-08
pg78-2,0.0227,0.5591,0.14,0.0519,0.0319,0.0223,0.0428,0.055,0.0311,0.0001,0.0039,0.0026,0.0008,0.1045,0.2877,0.0014,0.075,0.175,0.75,0.5906,0.7618,0.2315,-0.11215835,0.10998845,-0.34026766,0.10367395,0.07149049,-0.015818372,0.17030092,-0.11080439,0.071930915,0.24083507,1.3672564,-0.29642418,-0.8866513,-0.27136546,-0.25185505,0.071078956,0.027983623,-0.071103714,-0.07218217,9.482647e-08
pg161-10,0.0102,0.1737,0.2335,0.0859,0.031,0.0257,0.035,0.0696,0.0279,0.0002,0.0133,0.0093,0.0075,0.1274,0.1191,0.0198,0.15,0.2,0.65,0.6366,0.5361,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-13,0.0105,0.1533,0.2477,0.0786,0.0421,0.0249,0.0348,0.0755,0.0307,0.0003,0.0091,0.0195,0.005,0.1392,0.1159,0.0177,0.15,0.2,0.65,0.5842,0.4602,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-14,0.0115,0.2728,0.281,0.0649,0.0347,0.0304,0.0395,0.0764,0.0251,0.0005,0.012,0.0114,0.0019,0.1398,0.3229,0.0127,0.35,0.05,0.6,0.48100000000000004,0.4836,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-11,0.0131,0.1745,0.2164,0.0899,0.0293,0.0224,0.0283,0.0707,0.0287,0.0004,0.0114,0.0165,0.0088,0.1273,0.1112,0.0244,0.35,0.25,0.4,0.6326,0.4706,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-12,0.0101,0.1242,0.3801,0.0637,0.0418,0.0311,0.0362,0.0841,0.0253,0.0003,0.0103,0.0162,0.0042,0.1471,0.2408,0.0136,0.0,0.35,0.65,0.5202,0.4517,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-8,0.0116,0.1384,0.3233,0.0799,0.0364,0.0278,0.0328,0.0768,0.0279,0.0005,0.0107,0.0062,0.0068,0.127,0.1548,0.0199,0.25,0.3,0.45,0.5879,0.5684,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-9,0.0143,0.1264,0.3195,0.0729,0.0307,0.0258,0.0356,0.0677,0.0288,0.0007,0.0132,0.009000000000000001,0.0048,0.1262,0.1424,0.0192,0.05,0.5,0.45,0.5774,0.4492,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-1,0.0098,0.263,0.2323,0.0735,0.0436,0.0245,0.0353,0.062,0.0336,0.0014,0.012,0.0039,0.0053,0.1146,0.0887,0.0156,0.2,0.05,0.75,0.59,0.4274,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-2,0.0111,0.3211,0.2425,0.0616,0.039,0.0269,0.039,0.0623,0.0307,0.0001,0.0108,0.0014,0.0019,0.1136,0.1494,0.0195,0.2,0.2,0.6,0.5288,0.4762,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-3,0.0186,0.168,0.187,0.0865,0.028999999999999998,0.026000000000000002,0.0315,0.061,0.0357,0.0003,0.0117,0.0036,0.0053,0.1081,0.0192,0.0351,0.1,0.1,0.8,0.6391,0.4647,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-4,0.0181,0.1628,0.2091,0.0824,0.03,0.0288,0.0353,0.0701,0.0358,0.0002,0.0092,0.0051,0.0081,0.1199,-0.006,0.0404,0.2,0.25,0.55,0.665,0.5116,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-5,0.0135,0.1725,0.2283,0.091,0.0325,0.0261,0.0335,0.0644,0.0286,0.0004,0.0126,0.006,0.0059,0.1169,0.1159,0.0299,0.25,0.25,0.5,0.6082,0.5675,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-6,0.0132,0.0735,0.2672,0.0748,0.03,0.0299,0.0332,0.0646,0.0269,0.0005,0.0107,0.002,0.0048,0.111,0.1971,0.0252,0.05,0.15,0.8,0.5547,0.598,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg161-7,0.0132,0.1214,0.2865,0.0815,0.033,0.0252,0.0339,0.0748,0.027999999999999997,0.0007,0.0087,0.0066,0.0077,0.1247,0.0746,0.023,0.35,0.1,0.55,0.6341,0.5725,0.1564,0.2903073,-0.032845248,0.015993056999999998,-0.036758587,-0.07452328,-0.039565515,-0.15948679999999998,0.10002729,0.004387907,-0.01692487,-0.4539938,-0.5530554,-0.056680255,-0.56066525,0.07764062,-0.4598445,0.17951797,0.5445179,-0.11964901,9.482655e-08
pg158-10,0.0149,0.136,0.136,0.0884,0.0175,0.0218,0.0329,0.0585,0.0439,0.0002,0.0131,0.0149,0.0113,0.1196,-0.0799,0.0304,0.3333,0.1667,0.5,0.7485,0.3392,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-18,0.0083,0.1394,0.2578,0.0871,0.0277,0.0239,0.0312,0.066,0.0367,0.0014,0.0132,0.0236,0.0068,0.1354,0.0282,0.0136,0.2083,0.2083,0.5833,0.6472,0.2736,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-17,0.0079,0.2152,0.3623,0.0827,0.0288,0.0235,0.0323,0.0702,0.0326,0.0005,0.0119,0.0256,0.0064,0.1405,0.0706,0.0152,0.375,0.125,0.5,0.6213,0.5826,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-16,0.0128,0.1748,0.2729,0.0837,0.0244,0.0241,0.0326,0.0646,0.0362,0.0007,0.0108,0.023,0.0084,0.1317,-0.0149,0.0269,0.25,0.125,0.625,0.6774,0.5347,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-15,0.0131,0.0926,0.2525,0.0904,0.0197,0.0248,0.036000000000000004,0.066,0.0435,0.0007,0.0118,0.0196,0.0079,0.1341,-0.0527,0.0293,0.2083,0.2083,0.5833,0.7283,0.5037,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-14,0.012,0.1725,0.1707,0.0889,0.0224,0.0218,0.0377,0.0619,0.0375,0.0016,0.0094,0.0208,0.0091,0.1314,-0.0129,0.0243,0.2083,0.2083,0.5833,0.6749,0.4911,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-13,0.0105,0.2084,0.2245,0.0806,0.0245,0.0207,0.036000000000000004,0.0591,0.0397,0.0016,0.0105,0.0208,0.0112,0.128,-0.0543,0.0157,0.2917,0.25,0.4583,0.7063,0.648,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-12,0.0147,0.1295,0.196,0.0872,0.024,0.0223,0.0327,0.0583,0.0386,0.0003,0.0101,0.0163,0.0089,0.1177,-0.0139,0.0304,0.125,0.375,0.5,0.6892,0.688,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-11,0.0119,0.1318,0.222,0.0844,0.0264,0.0217,0.0359,0.0586,0.0389,0.0003,0.0136,0.0151,0.0114,0.1235,-0.0297,0.023,0.25,0.3333,0.4167,0.6732,0.5811,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-19,0.0134,0.19399999999999998,0.2233,0.0908,0.025,0.0251,0.0336,0.0645,0.038,0.0007,0.0108,0.0214,0.0086,0.1311,-0.0256,0.0281,0.2083,0.0417,0.75,0.6971,0.4422,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-8,0.0106,0.2588,0.2324,0.0757,0.0263,0.0267,0.036000000000000004,0.0624,0.0317,0.0011,0.0157,0.0119,0.0031,0.1271,0.1272,0.0198,0.0833,0.2917,0.625,0.6096,0.4492,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-9,0.0144,0.1782,0.2223,0.0881,0.023,0.0228,0.037000000000000005,0.0588,0.0394,0.0003,0.0138,0.0136,0.008,0.1235,-0.006999999999999999,0.0268,0.1667,0.2083,0.625,0.6954,0.4734,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-1,0.0097,0.255,0.3003,0.0656,0.0293,0.0223,0.0451,0.0649,0.0318,0.0013,0.0116,0.006999999999999999,0.0049,0.1299,0.1191,0.013999999999999999,0.25,0.2083,0.5417,0.6192,0.6157,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-2,0.0133,0.1442,0.2153,0.0878,0.0218,0.0195,0.0354,0.057,0.0395,0.0008,0.0119,0.0105,0.0085,0.1156,-0.0288,0.0296,0.25,0.125,0.625,0.7023,0.307,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-3,0.0145,0.2089,0.2106,0.09,0.0268,0.0209,0.037000000000000005,0.0629,0.0394,0.0005,0.0113,0.0098,0.0083,0.1215,-0.0297,0.0264,0.125,0.2083,0.6667,0.6988,0.3283,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-4,0.0141,0.1712,0.175,0.0784,0.025,0.022000000000000002,0.0421,0.064,0.0334,0.0006,0.0127,0.0116,0.009000000000000001,0.131,0.0473,0.027999999999999997,0.0833,0.2083,0.7083,0.6659999999999999,0.5286,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-5,0.0114,0.2579,0.2273,0.0735,0.0277,0.0254,0.0384,0.062,0.0285,0.0019,0.0135,0.0114,0.0049,0.1272,0.1714,0.0219,0.2083,0.25,0.5417,0.6174,0.6458,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-6,0.0102,0.2379,0.2645,0.077,0.0285,0.0243,0.0392,0.0621,0.0288,0.0012,0.0133,0.0131,0.0073,0.1289,0.1407,0.0156,0.2917,0.0833,0.625,0.6095,0.4015,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg158-7,0.0097,0.141,0.2977,0.078,0.0241,0.021,0.0401,0.0674,0.0305,0.0015,0.0146,0.0173,0.0092,0.1409,0.0802,0.0198,0.0417,0.2083,0.75,0.6568,0.483,0.1682,0.13215391,-0.1984808,0.05761533,0.101525374,-0.017468436,0.09650505,0.023242622999999997,0.016799577,0.04465871,0.10245903599999999,-0.3996259,-0.38996187,0.3076757,-0.19056684,-0.31032857,0.8119285,-0.15240365,0.21026869,-0.039656118,9.482643e-08
pg786-9,0.0178,0.1494,0.2795,0.0791,0.0293,0.0265,0.0299,0.0818,0.0373,0.0017,0.0069,0.0033,0.0051,0.1236,0.0021,0.0404,0.24,0.32,0.44,0.7002,0.413,0.1837,0.13084477,-0.14109547,0.20173138,0.05058728,-0.01763786,0.024224887,-0.049865488,0.11851482,-0.05061833,0.001122049,-0.29766434,0.016764794,-0.20484711,-0.23171334,0.9486061,0.11570916,-0.15643236,-0.34595874,-0.28212586,9.482651e-08
pg786-7,0.0178,0.2521,0.0984,0.0837,0.025,0.0224,0.0331,0.08,0.0387,0.0005,0.0062,0.0047,0.0069,0.1245,-0.0177,0.0591,0.16,0.16,0.68,0.7762,0.5563,0.1837,0.13084477,-0.14109547,0.20173138,0.05058728,-0.01763786,0.024224887,-0.049865488,0.11851482,-0.05061833,0.001122049,-0.29766434,0.016764794,-0.20484711,-0.23171334,0.9486061,0.11570916,-0.15643236,-0.34595874,-0.28212586,9.482651e-08
pg786-8,0.0168,0.2645,0.1461,0.0871,0.0286,0.0259,0.0308,0.0745,0.0405,0.0013,0.0072,0.0071,0.0047,0.1209,-0.0233,0.0393,0.24,0.2,0.56,0.6936,0.369,0.1837,0.13084477,-0.14109547,0.20173138,0.05058728,-0.01763786,0.024224887,-0.049865488,0.11851482,-0.05061833,0.001122049,-0.29766434,0.016764794,-0.20484711,-0.23171334,0.9486061,0.11570916,-0.15643236,-0.34595874,-0.28212586,9.482651e-08
pg786-5,0.0165,0.1645,0.14400000000000002,0.0764,0.0257,0.0228,0.0283,0.0916,0.0358,0.0019,0.0057,0.0046,0.0059,0.1321,0.0225,0.0403,0.24,0.12,0.64,0.6406,0.6496,0.1837,0.13084477,-0.14109547,0.20173138,0.05058728,-0.01763786,0.024224887,-0.049865488,0.11851482,-0.05061833,0.001122049,-0.29766434,0.016764794,-0.20484711,-0.23171334,0.9486061,0.11570916,-0.15643236,-0.34595874,-0.28212586,9.482651e-08
